Item,Matched_Category,Match_Score,Final_Category
Born Babies Baby Cotton Printed Carry Bed Cum Sleeping Bag 3 in 1 Light Blue,Nursery and gear ,92,Nursery and gear 
Born Babies Baby Cotton Printed Carry Bed Cum Sleeping Bag 3 in 1 Blue,Nursery and gear ,94,Nursery and gear 
Born Babies Baby Cotton Printed Carry Bed Cum Sleeping Bag 3 in 1 Pink,Nursery and gear ,93,Nursery and gear 
Born Babies Baby Cotton Printed Net Bed With Pillow Yellow,Baby care ,86,Baby care 
Born Babies Baby Cotton Printed Net Bed With Pillow Green,Baby care ,86,Baby care 
Born Babies Baby Cotton Printed Net Bed With Pillow White,Baby care ,86,Baby care 
Born Babies Baby Muslin Organic Cotton Printed Carry Bed Cum Sleeping Bag 2 in 1 Black,Baby clothing ,95,Baby clothing 
Born Babies Baby Muslin Organic Cotton Printed Carry Bed Cum Sleeping Bag 2 in 1 Red,Baby clothing ,100,Baby clothing 
Born Babies Baby Muslin Organic Cotton Printed Carry Bed Cum Sleeping Bag 2 in 1 Yellow,Baby clothing ,96,Baby clothing 
Born Babies Baby Muslin Organic Cotton Printed Carry Bed Cum Sleeping Bag 2 in 1 Orange,Baby clothing ,97,Baby clothing 
Born Babies Baby Muslin Organic Cotton Printed Carry Bed Cum Sleeping Bag 2 in 1 Blue,Baby clothing ,97,Baby clothing 
Born Babies Baby Cotton Printed Carry Bed Cum Sleeping Bag 3 in 1 Red,Nursery and gear ,95,Nursery and gear 
Born Babies Baby Cotton Printed Carry Bed Cum Sleeping Bag 3 in 1 Pink,Nursery and gear ,93,Nursery and gear 
Born Babies Baby Cotton Printed Carry Bed Cum Sleeping Bag 3 in 1 Light Blue,Nursery and gear ,92,Nursery and gear 
Born Babies Baby Cotton Printed Carry Bed Cum Sleeping Bag 3 in 1 Dark Green,Nursery and gear ,91,Nursery and gear 
Born Babies Baby Cotton Printed Carry Bed Cum Sleeping Bag 3 in 1 Sandle,Nursery and gear ,93,Nursery and gear 
Born Babies Baby Cotton Printed Carry Bed Cum Sleeping Bag 3 in 1 Light Pink,Nursery and gear ,91,Nursery and gear 
Born Babies Baby Cotton Printed Carry Bed Cum Sleeping Bag 3 in 1 Pink,Nursery and gear ,93,Nursery and gear 
Born Babies Baby Cotton Printed Carry Bed Cum Sleeping Bag 3 in 1 Light Blue,Nursery and gear ,92,Nursery and gear 
Born Babies Baby Cotton Printed Carry Bed Cum Sleeping Bag 3 in 1 Blue,Nursery and gear ,94,Nursery and gear 
Born Babies Baby Cotton Printed Carry Bed Cum Sleeping Bag 3 in 1 Yellow,Nursery and gear ,100,Nursery and gear 
Born Babies Baby Cotton Printed Carry Bed Set Cum Sleeping Bag 2 in 1 Light Pink,Nursery and gear ,88,Nursery and gear 
Born Babies Baby Cotton Printed Carry Bed Set Cum Sleeping Bag 2 in 1 Pink,Nursery and gear ,89,Nursery and gear 
Born Babies Baby Cotton Printed Carry Bed Set Cum Sleeping Bag 2 in 1 Light Blue,Nursery and gear ,88,Nursery and gear 
Born Babies Baby Cotton Printed Carry Bed Set Cum Sleeping Bag 2 in 1 Blue,Nursery and gear ,90,Nursery and gear 
Born Babies Baby Cotton Printed Carry Bed Set Cum Sleeping Bag 2 in 1 Yellow,Nursery and gear ,96,Nursery and gear 
Born Babies Muslin Cotton Baby Printed Bolster Bedding Set - Green,Nursery and gear ,100,Nursery and gear 
Born Babies Muslin Cotton Baby Printed Bolster Bedding Set - Pink,Nursery and gear ,95,Nursery and gear 
Born Babies Muslin Cotton Baby Printed Bolster Bedding Set - Blue,Nursery and gear ,95,Nursery and gear 
Born Babies Muslin Cotton Baby Printed Bolster Bedding Set - Yellow,Nursery and gear ,93,Nursery and gear 
Born Babies baby Cotton Printed Bolster Bedding Set-Blue,Nursery and gear ,90,Nursery and gear 
Born Babies Baby Cotton Printed Feeding Pillow Blue,Nursery and gear ,95,Nursery and gear 
Born Babies Baby Cotton Printed Net Bed With Pillow Pink,Baby care ,86,Baby care 
Born Babies Baby Cotton Printed Net Bed With Pillow Multicolored,Baby care ,86,Baby care 
Born Babies Baby Cotton Printed Net Bed With Pillow Dark Pink,Baby care ,86,Baby care 
Born Babies Baby Cotton Printed Net Bed With Pillow Green,Baby care ,86,Baby care 
Born Babies  Baby Cotton Printed Carry Bed Set Cum Sleeping Bag 2 in 1 Yellow,Nursery and gear ,95,Nursery and gear 
Born Babies  Baby Cotton Printed Carry Bed Set Cum Sleeping Bag 2 in 1 Red,Baby clothing ,92,Baby clothing 
Born Babies  Baby Cotton Printed Carry Bed Set Cum Sleeping Bag 2 in 1 Pink,Baby clothing ,89,Baby clothing 
Born Babies  Baby Cotton Printed Carry Bed Set Cum Sleeping Bag 2 in 1 Green,Nursery and gear ,89,Nursery and gear 
Born Babies  Baby Cotton Printed Carry Bed Set Cum Sleeping Bag 2 in 1 Dark Pink,Nursery and gear ,88,Nursery and gear 
Born Babies  Baby Cotton Printed Carry Bed Set Cum Sleeping Bag 2 in 1 Blue,Nursery and gear ,90,Nursery and gear 
"Chicco Well-Being Glass Feeding Bottle for Babies (120ml,Slow Flow) |Premium Borosilicate Glass for High Durability |Elongated Teat for Correct Latch |Comes with Anti-Spill Cap | BPA Free (Pink)",Feeding ,100,Feeding 
"Born Babies Baby Sipper cup BPA free convertible for toddler kid , soft spout straw mug - 210ML (Blue)",Baby care ,86,Baby care 
"Born Babies Baby Sipper cup BPA free convirtable for toddler kid , soft spout straw mug - 210ML (Pink)",Baby care ,86,Baby care 
Born Babies 100% Natural Baby Soap - 100gm,Baby care ,86,Baby care 
Born Babies Real Herbal Baby Powder Cool & Smooth your Skin -100GM,Baby care ,86,Baby care 
Born Babies Baby 100% Natural Tear Free Shampoo - 200ML,Baby care ,86,Baby care 
Born Babies Almond & Cucumber Baby Head To Toe Wash - 200ML,Baby care ,86,Baby care 
Born Babies Baby Natural Body Lotion For Moisturizes & Make Skin Soft & Smooth - 200ML,Baby care ,86,Baby care 
